id,layer,category,trigger,condition,if_action,else_action,severity,how_to_use,when_to_use,why_to_use,source_doc
AS-0397,scenarios,tool_policy,scrape anti-bot 403 [case 9],policy_handler_if is None,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0398,scenarios,tool_policy,agent observes: scrape anti-bot 403 [case 10],error contains github_repository_not_allowed,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0399,scenarios,tool_policy,operator reports: scrape anti-bot 403 [case 11],error contains 429,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0400,scenarios,tool_policy,runtime detects: scrape anti-bot 403 [case 12],pack filter is github,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0401,scenarios,tool_policy,chat turn includes: scrape anti-bot 403 [case 13],pack filter is all,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0402,scenarios,tool_policy,skill path hits: scrape anti-bot 403 [case 14],format_policy_evidence returned non-empty,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0403,scenarios,tool_policy,after bootstrap: scrape anti-bot 403 [case 15],noise-only tokens matched weak row,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0404,scenarios,tool_policy,in production: scrape anti-bot 403 [case 16],allowlist mode is restricted,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0405,scenarios,tool_policy,during local dev: scrape anti-bot 403 [case 17],tool_errors is non-empty,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0406,scenarios,tool_policy,on digitalocean deploy: scrape anti-bot 403 [case 18],scenario.match count == 0,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0407,scenarios,tool_policy,when brain enabled: scrape anti-bot 403 [case 19],scenario.match count >= 1 and score >= 4.0,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0408,scenarios,tool_policy,scenario.match returned zero rows [case 20],scenario.match score < chat_gate min_score,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0409,scenarios,tool_policy,agent observes: scenario.match returned zero rows [case 21],severity is critical,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0410,scenarios,tool_policy,operator reports: scenario.match returned zero rows [case 22],severity is low,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0411,scenarios,tool_policy,runtime detects: scenario.match returned zero rows [case 23],policy_handler_if is not None,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0412,scenarios,tool_policy,chat turn includes: scenario.match returned zero rows [case 24],policy_handler_if is None,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0413,scenarios,tool_policy,skill path hits: scenario.match returned zero rows [case 25],error contains github_repository_not_allowed,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0414,scenarios,tool_policy,after bootstrap: scenario.match returned zero rows [case 26],error contains 429,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0415,scenarios,tool_policy,in production: scenario.match returned zero rows [case 27],pack filter is github,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0416,scenarios,tool_policy,during local dev: scenario.match returned zero rows [case 28],pack filter is all,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0417,scenarios,tool_policy,on digitalocean deploy: scenario.match returned zero rows [case 29],format_policy_evidence returned non-empty,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0418,scenarios,tool_policy,when brain enabled: scenario.match returned zero rows [case 30],noise-only tokens matched weak row,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0419,scenarios,tool_policy,scenario.match returned high severity row [case 31],allowlist mode is restricted,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0420,scenarios,tool_policy,agent observes: scenario.match returned high severity row [case 32],tool_errors is non-empty,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0421,scenarios,tool_policy,operator reports: scenario.match returned high severity row [case 33],scenario.match count == 0,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0422,scenarios,tool_policy,runtime detects: scenario.match returned high severity row [case 34],scenario.match count >= 1 and score >= 4.0,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0423,scenarios,tool_policy,chat turn includes: scenario.match returned high severity row [case 35],scenario.match score < chat_gate min_score,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0424,scenarios,tool_policy,skill path hits: scenario.match returned high severity row [case 36],severity is critical,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0425,scenarios,tool_policy,after bootstrap: scenario.match returned high severity row [case 37],severity is low,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0426,scenarios,tool_policy,in production: scenario.match returned high severity row [case 38],policy_handler_if is not None,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0427,scenarios,tool_policy,during local dev: scenario.match returned high severity row [case 39],policy_handler_if is None,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0428,scenarios,tool_policy,on digitalocean deploy: scenario.match returned high severity row [case 40],error contains github_repository_not_allowed,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0429,scenarios,tool_policy,when brain enabled: scenario.match returned high severity row [case 41],error contains 429,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0430,scenarios,tool_policy,policy_handler_if maps to tools.sleep_backoff [case 42],pack filter is github,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0431,scenarios,tool_policy,agent observes: policy_handler_if maps to tools.sleep_backoff [case 43],pack filter is all,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0432,scenarios,tool_policy,operator reports: policy_handler_if maps to tools.sleep_backoff [case 44],format_policy_evidence returned non-empty,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0433,scenarios,tool_policy,runtime detects: policy_handler_if maps to tools.sleep_backoff [case 45],noise-only tokens matched weak row,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0434,scenarios,tool_policy,chat turn includes: policy_handler_if maps to tools.sleep_backoff [case 46],allowlist mode is restricted,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0435,scenarios,tool_policy,skill path hits: policy_handler_if maps to tools.sleep_backoff [case 47],tool_errors is non-empty,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0436,scenarios,tool_policy,after bootstrap: policy_handler_if maps to tools.sleep_backoff [case 48],scenario.match count == 0,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0437,scenarios,tool_policy,in production: policy_handler_if maps to tools.sleep_backoff [case 49],scenario.match count >= 1 and score >= 4.0,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0438,scenarios,tool_policy,during local dev: policy_handler_if maps to tools.sleep_backoff [case 50],scenario.match score < chat_gate min_score,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0439,scenarios,tool_policy,on digitalocean deploy: policy_handler_if maps to tools.sleep_backoff [case 51],severity is critical,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0440,scenarios,tool_policy,when brain enabled: policy_handler_if maps to tools.sleep_backoff [case 52],severity is low,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0441,scenarios,tool_policy,policy_handler_else maps to ops.notify [case 53],policy_handler_if is not None,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0442,scenarios,tool_policy,agent observes: policy_handler_else maps to ops.notify [case 54],policy_handler_if is None,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0443,scenarios,tool_policy,operator reports: policy_handler_else maps to ops.notify [case 55],error contains github_repository_not_allowed,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0444,scenarios,tool_policy,runtime detects: policy_handler_else maps to ops.notify [case 56],error contains 429,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0445,scenarios,tool_policy,chat turn includes: policy_handler_else maps to ops.notify [case 57],pack filter is github,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0446,scenarios,tool_policy,skill path hits: policy_handler_else maps to ops.notify [case 58],pack filter is all,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0447,scenarios,tool_policy,after bootstrap: policy_handler_else maps to ops.notify [case 59],format_policy_evidence returned non-empty,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0448,scenarios,tool_policy,in production: policy_handler_else maps to ops.notify [case 60],noise-only tokens matched weak row,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0449,scenarios,tool_policy,during local dev: policy_handler_else maps to ops.notify [case 61],allowlist mode is restricted,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0450,scenarios,tool_policy,on digitalocean deploy: policy_handler_else maps to ops.notify [case 62],tool_errors is non-empty,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0451,scenarios,tool_policy,when brain enabled: policy_handler_else maps to ops.notify [case 63],scenario.match count == 0,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0452,scenarios,tool_policy,noise error string with only tool and error tokens [case 64],scenario.match count >= 1 and score >= 4.0,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0453,scenarios,tool_policy,agent observes: noise error string with only tool and error tokens [case 65],scenario.match score < chat_gate min_score,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0454,scenarios,tool_policy,operator reports: noise error string with only tool and error tokens [case 66],severity is critical,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0455,scenarios,tool_policy,runtime detects: noise error string with only tool and error tokens [case 67],severity is low,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0456,scenarios,tool_policy,chat turn includes: noise error string with only tool and error tokens [case 68],policy_handler_if is not None,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0457,scenarios,tool_policy,skill path hits: noise error string with only tool and error tokens [case 69],policy_handler_if is None,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0458,scenarios,tool_policy,after bootstrap: noise error string with only tool and error tokens [case 70],error contains github_repository_not_allowed,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0459,scenarios,tool_policy,in production: noise error string with only tool and error tokens [case 71],error contains 429,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0460,scenarios,tool_policy,during local dev: noise error string with only tool and error tokens [case 72],pack filter is github,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0461,scenarios,tool_policy,on digitalocean deploy: noise error string with only tool and error tokens [case 73],pack filter is all,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0462,scenarios,tool_policy,when brain enabled: noise error string with only tool and error tokens [case 74],format_policy_evidence returned non-empty,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
