"id","service","category","trigger","condition","if_action","else_action","severity","source_doc"
"FS-0120","firecrawl","fc_extract","Agent calls /v2/extract with a JSON schema and URLs","extract.prompt is empty (no schema - rejected)","Charge 4 credits per page (advanced) - surface cost","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0121","firecrawl","fc_extract","Agent calls /v2/extract with a JSON schema and URLs","extract returns object matching schema (success)","Retry on failure (transient)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0122","firecrawl","fc_extract","Agent calls /v2/extract with a JSON schema and URLs","extract returns object with empty fields (page didn't have data)","Return structured JSON matching schema (success)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0123","firecrawl","fc_extract","Agent calls /v2/extract with a JSON schema and URLs","extract webhooks: started / completed / failed","Use prompt for NL schema description (alternative to JSON Schema)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0124","firecrawl","fc_extract","Agent calls /v2/extract with a JSON schema and URLs","extract costs 4 credits per page (advanced)","Treat empty fields as 'data not present' (don't fail)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0125","firecrawl","fc_extract","Agent calls /v2/extract with a JSON schema and URLs","extract status == 'completed'","Validate schema client-side before sending (avoid 422)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0126","firecrawl","fc_extract","Agent calls /v2/extract with a JSON schema and URLs","extract status == 'failed' (parse error, schema mismatch)","Use webhooks (started / completed / failed) instead of polling","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0127","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract.urls is non-empty","Use prompt for NL schema description (alternative to JSON Schema)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0128","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract.urls is empty (422)","Treat empty fields as 'data not present' (don't fail)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0129","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract.schema is a valid JSON Schema","Validate schema client-side before sending (avoid 422)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0130","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract.schema is invalid (422)","Use webhooks (started / completed / failed) instead of polling","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0131","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract.prompt is set (NL schema description)","Charge 4 credits per page (advanced) - surface cost","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0132","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract.prompt is empty (no schema - rejected)","Retry on failure (transient)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0133","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract returns object matching schema (success)","Return structured JSON matching schema (success)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0134","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract returns object with empty fields (page didn't have data)","Use prompt for NL schema description (alternative to JSON Schema)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0135","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract webhooks: started / completed / failed","Treat empty fields as 'data not present' (don't fail)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0136","firecrawl","fc_extract","Extract uses prompt (NL schema description) instead of schema","extract costs 4 credits per page (advanced)","Validate schema client-side before sending (avoid 422)","Page on-call; do not retry on schema validation failure (422) without schema fix","medium","docs.firecrawl.dev/api-reference/endpoint/extract"
"FS-0137","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch.urls is non-empty","Start batch; poll /v2/batch/scrape/{id} or use webhooks","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0138","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch.urls contains invalid URLs (ignored if ignoreInvalidURLs=true)","Set ignoreInvalidURLs:true (default) - bad URLs are reported, batch runs","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0139","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch.urls contains only invalid URLs (empty result)","Surface invalidURLs list to operator for cleanup","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0140","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch.maxConcurrency set","Set maxConcurrency per batch (vs per team)","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0141","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch.ignoreInvalidURLs == true (default - skip bad URLs)","Use async (startBatchScrape) for large batches - avoids client timeout","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0142","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch.ignoreInvalidURLs == false (fail whole batch on bad URL)","Receive batch_scrape.started / .page / .completed / .failed webhooks","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0143","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch is sync (batchScrape - waits for completion)","Fetch results within 24h of completion (API window)","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0144","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch is async (startBatchScrape - returns job ID)","Fall back to activity logs after 24h","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0145","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch.webhook is set (page events fire per URL)","Start batch; poll /v2/batch/scrape/{id} or use webhooks","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0146","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch.webhook URL is down (5xx, retry)","Set ignoreInvalidURLs:true (default) - bad URLs are reported, batch runs","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0147","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch results are < 24h old (available via API)","Surface invalidURLs list to operator for cleanup","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0148","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch results are > 24h old (still in activity logs)","Set maxConcurrency per batch (vs per team)","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0149","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch status == 'completed'","Use async (startBatchScrape) for large batches - avoids client timeout","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0150","firecrawl","fc_batch","Agent calls /v2/batch/scrape with multiple URLs","batch status == 'failed' (one URL fatal?)","Receive batch_scrape.started / .page / .completed / .failed webhooks","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0151","firecrawl","fc_batch","Batch scrape uses ignoreInvalidURLs:true (default)","batch.urls is non-empty","Set ignoreInvalidURLs:true (default) - bad URLs are reported, batch runs","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0152","firecrawl","fc_batch","Batch scrape uses ignoreInvalidURLs:true (default)","batch.urls contains invalid URLs (ignored if ignoreInvalidURLs=true)","Surface invalidURLs list to operator for cleanup","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0153","firecrawl","fc_batch","Batch scrape uses ignoreInvalidURLs:true (default)","batch.urls contains only invalid URLs (empty result)","Set maxConcurrency per batch (vs per team)","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0154","firecrawl","fc_batch","Batch scrape uses ignoreInvalidURLs:true (default)","batch.maxConcurrency set","Use async (startBatchScrape) for large batches - avoids client timeout","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0155","firecrawl","fc_batch","Batch scrape uses ignoreInvalidURLs:true (default)","batch.ignoreInvalidURLs == true (default - skip bad URLs)","Receive batch_scrape.started / .page / .completed / .failed webhooks","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0156","firecrawl","fc_batch","Batch scrape uses ignoreInvalidURLs:true (default)","batch.ignoreInvalidURLs == false (fail whole batch on bad URL)","Fetch results within 24h of completion (API window)","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0157","firecrawl","fc_batch","Batch scrape uses ignoreInvalidURLs:true (default)","batch is sync (batchScrape - waits for completion)","Fall back to activity logs after 24h","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0158","firecrawl","fc_batch","Batch scrape uses ignoreInvalidURLs:true (default)","batch is async (startBatchScrape - returns job ID)","Start batch; poll /v2/batch/scrape/{id} or use webhooks","Page on-call; do not silently drop invalid URLs without alerting","medium","docs.firecrawl.dev/api-reference/endpoint/batch-scrape; docs.firecrawl.dev/features/batch-scrape"
"FS-0159","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent.goal is non-empty (NL goal)","Start agent job; poll /v2/agent/{id} or use webhooks (action events fire)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0160","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent.goal is empty (422)","Free preview: 5 daily runs (rate limited)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0161","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent in preview (5 free daily runs, dynamic pricing)","Cancel agent job (user / timeout)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0162","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent status == 'in_progress' (autonomous navigation)","Receive started / action / completed / failed / cancelled webhooks","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0163","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent status == 'completed' (results returned)","Use for multi-step research without specifying URLs","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0164","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent status == 'failed' (could not complete goal)","Start agent job; poll /v2/agent/{id} or use webhooks (action events fire)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0165","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent status == 'cancelled' (user stopped)","Free preview: 5 daily runs (rate limited)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0166","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent webhooks: started / action / completed / failed / cancelled","Cancel agent job (user / timeout)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0167","firecrawl","fc_agent","Agent calls /v2/agent (autonomous, NL goal)","agent hits 5 free daily cap (429 if not upgraded)","Receive started / action / completed / failed / cancelled webhooks","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0168","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent.goal is non-empty (NL goal)","Free preview: 5 daily runs (rate limited)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0169","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent.goal is empty (422)","Cancel agent job (user / timeout)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0170","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent in preview (5 free daily runs, dynamic pricing)","Receive started / action / completed / failed / cancelled webhooks","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0171","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent status == 'in_progress' (autonomous navigation)","Use for multi-step research without specifying URLs","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0172","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent status == 'completed' (results returned)","Start agent job; poll /v2/agent/{id} or use webhooks (action events fire)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0173","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent status == 'failed' (could not complete goal)","Free preview: 5 daily runs (rate limited)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0174","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent status == 'cancelled' (user stopped)","Cancel agent job (user / timeout)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0175","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent webhooks: started / action / completed / failed / cancelled","Receive started / action / completed / failed / cancelled webhooks","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0176","firecrawl","fc_agent","Agent job is in preview (5 free daily runs, dynamic pricing)","agent hits 5 free daily cap (429 if not upgraded)","Use for multi-step research without specifying URLs","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0177","firecrawl","fc_agent","Agent job fires webhooks: started / action / completed / failed / cancelled","agent.goal is non-empty (NL goal)","Cancel agent job (user / timeout)","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0178","firecrawl","fc_agent","Agent job fires webhooks: started / action / completed / failed / cancelled","agent.goal is empty (422)","Receive started / action / completed / failed / cancelled webhooks","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0179","firecrawl","fc_agent","Agent job fires webhooks: started / action / completed / failed / cancelled","agent in preview (5 free daily runs, dynamic pricing)","Use for multi-step research without specifying URLs","Page on-call; do not auto-retry agent on failure without budget check","medium","docs.firecrawl.dev/advanced-scraping-guide (agent section)"
"FS-0180","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor is for a single page (page monitor)","Create page monitor; alerts on change (same / changed / new / removed / error)","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0181","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor is for a whole website (multi-page, periodic crawl)","Create website monitor; multi-page periodic crawl + diff","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0182","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor changeStatus == 'same' (no change since last check)","Use JSON mode (modes:['json']) with schema for per-field diff","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0183","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor changeStatus == 'changed' (content changed)","Receive check.completed webhook on each check","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0184","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor changeStatus == 'new' (newly seen URL)","Use web-search mode monitor for new-result alerts (not page diff)","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0185","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor changeStatus == 'removed' (URL no longer present)","Use snapshot.json to get full current extraction without re-fetch","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0186","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor changeStatus == 'error' (scrape failed during check)","Create page monitor; alerts on change (same / changed / new / removed / error)","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0187","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor uses JSON mode (modes: [json]) with schema","Create website monitor; multi-page periodic crawl + diff","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0188","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor check.completed webhook fires","Use JSON mode (modes:['json']) with schema for per-field diff","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0189","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor alerts on new results (web-search mode)","Receive check.completed webhook on each check","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0190","firecrawl","fc_monitor","Agent creates a page monitor with changeTracking","monitor has snapshot.json with full current extraction (JSON mode)","Use web-search mode monitor for new-result alerts (not page diff)","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0191","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor is for a single page (page monitor)","Create website monitor; multi-page periodic crawl + diff","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0192","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor is for a whole website (multi-page, periodic crawl)","Use JSON mode (modes:['json']) with schema for per-field diff","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0193","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor changeStatus == 'same' (no change since last check)","Receive check.completed webhook on each check","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0194","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor changeStatus == 'changed' (content changed)","Use web-search mode monitor for new-result alerts (not page diff)","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0195","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor changeStatus == 'new' (newly seen URL)","Use snapshot.json to get full current extraction without re-fetch","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0196","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor changeStatus == 'removed' (URL no longer present)","Create page monitor; alerts on change (same / changed / new / removed / error)","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0197","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor changeStatus == 'error' (scrape failed during check)","Create website monitor; multi-page periodic crawl + diff","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0198","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor uses JSON mode (modes: [json]) with schema","Use JSON mode (modes:['json']) with schema for per-field diff","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0199","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor check.completed webhook fires","Receive check.completed webhook on each check","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0200","firecrawl","fc_monitor","Agent creates a website monitor (multi-page)","monitor alerts on new results (web-search mode)","Use web-search mode monitor for new-result alerts (not page diff)","Page on-call; do not spam alert on every 'same' (batch alerts)","low","docs.firecrawl.dev/features/monitoring; firecrawl.dev/blog/launch-week-iii-day-1-introducing-change-tracking"
"FS-0201","firecrawl","fc_zdr","Scrape uses zeroDataRetention:true but also needs screenshot (ZDR violation)","zeroDataRetention == true AND screenshot requested (ZDR violation)","Use ZDR (no temporary storage) for compliance-bound scraping","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0202","firecrawl","fc_zdr","Scrape uses zeroDataRetention:true but also needs screenshot (ZDR violation)","zeroDataRetention == true AND no screenshot (OK)","Don't add screenshot / formats that require temporary storage (ZDR violation)","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0203","firecrawl","fc_zdr","Scrape uses zeroDataRetention:true but also needs screenshot (ZDR violation)","ZDR requires help@firecrawl.dev to enable (default off)","Enable ZDR via help@firecrawl.dev (default off)","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0204","firecrawl","fc_zdr","Scrape uses zeroDataRetention:true but also needs screenshot (ZDR violation)","lockdown == true AND cache hit (returns cached data)","Use lockdown mode (cache only) for repeatable, low-risk targets","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0205","firecrawl","fc_zdr","Scrape uses zeroDataRetention:true but also needs screenshot (ZDR violation)","lockdown == true AND no cached data (404 SCRAPE_LOCKDOWN_CACHE_MISS)","Seed cache with a non-lockdown scrape before enabling lockdown","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0206","firecrawl","fc_zdr","Scrape uses zeroDataRetention:true but also needs screenshot (ZDR violation)","lockdown cache is seeded by a non-lockdown scrape first","Re-scrape and re-cache when SCRAPE_LOCKDOWN_CACHE_MISS","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0207","firecrawl","fc_zdr","ZDR requires contacting help@firecrawl.dev to enable","zeroDataRetention == true AND screenshot requested (ZDR violation)","Don't add screenshot / formats that require temporary storage (ZDR violation)","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0208","firecrawl","fc_zdr","ZDR requires contacting help@firecrawl.dev to enable","zeroDataRetention == true AND no screenshot (OK)","Enable ZDR via help@firecrawl.dev (default off)","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0209","firecrawl","fc_zdr","ZDR requires contacting help@firecrawl.dev to enable","ZDR requires help@firecrawl.dev to enable (default off)","Use lockdown mode (cache only) for repeatable, low-risk targets","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0210","firecrawl","fc_zdr","ZDR requires contacting help@firecrawl.dev to enable","lockdown == true AND cache hit (returns cached data)","Seed cache with a non-lockdown scrape before enabling lockdown","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0211","firecrawl","fc_zdr","ZDR requires contacting help@firecrawl.dev to enable","lockdown == true AND no cached data (404 SCRAPE_LOCKDOWN_CACHE_MISS)","Re-scrape and re-cache when SCRAPE_LOCKDOWN_CACHE_MISS","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
