id,scenario_num,domain,task_type,system,title,objective,context_name,context_detail,principal_risks,edge_cases,required_validation,completion_standard,layer,collection,chunk_id
CT-0305,305,Frontend Applications,Add observability,an accessible component library,Frontend Applications — Add observability: an accessible component library,"Instrument an accessible component library so operators can detect, diagnose, and explain failures quickly.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",state inconsistency; accessibility regressions; rendering bottlenecks; stale caches.,slow devices; keyboard-only use; screen readers.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,69c6acb29c16a4b45965c4e8
CT-0306,306,Frontend Applications,Add observability,an accessible component library,Frontend Applications — Add observability: an accessible component library,"Instrument an accessible component library so operators can detect, diagnose, and explain failures quickly.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",accessibility regressions; rendering bottlenecks; stale caches; browser incompatibility.,slow devices; keyboard-only use; screen readers.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,f70d1d43b9dc94c5396b7429
CT-0307,307,Frontend Applications,Add observability,an accessible component library,Frontend Applications — Add observability: an accessible component library,"Instrument an accessible component library so operators can detect, diagnose, and explain failures quickly.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",rendering bottlenecks; stale caches; browser incompatibility; unsafe HTML.,keyboard-only use; screen readers; interrupted navigation.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,a1d7d337abf9096c55304543
CT-0308,308,Frontend Applications,Add observability,an accessible component library,Frontend Applications — Add observability: an accessible component library,"Instrument an accessible component library so operators can detect, diagnose, and explain failures quickly.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",stale caches; browser incompatibility; unsafe HTML; state inconsistency.,keyboard-only use; screen readers; interrupted navigation.,accessibility audits; cross-browser tests; performance budgets; end-to-end tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,77ae5fad2ec9ece1fc6e59fb
CT-0309,309,Frontend Applications,Build test coverage,an accessible component library,Frontend Applications — Build test coverage: an accessible component library,"Create a layered automated test strategy for an accessible component library, including failure and recovery paths.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",browser incompatibility; unsafe HTML; state inconsistency; accessibility regressions.,slow devices; keyboard-only use; screen readers.,performance budgets; end-to-end tests; visual regression tests; accessibility audits.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,17b49343e801fb7c9479a66c
CT-0310,310,Frontend Applications,Build test coverage,an accessible component library,Frontend Applications — Build test coverage: an accessible component library,"Create a layered automated test strategy for an accessible component library, including failure and recovery paths.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",unsafe HTML; state inconsistency; accessibility regressions; rendering bottlenecks.,slow devices; keyboard-only use; screen readers.,performance budgets; end-to-end tests; visual regression tests; accessibility audits.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,1504502270662436d0bf3f91
CT-0311,311,Frontend Applications,Build test coverage,an accessible component library,Frontend Applications — Build test coverage: an accessible component library,"Create a layered automated test strategy for an accessible component library, including failure and recovery paths.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",state inconsistency; accessibility regressions; rendering bottlenecks; stale caches.,keyboard-only use; screen readers; interrupted navigation.,end-to-end tests; visual regression tests; accessibility audits; cross-browser tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,6e832cf9463ad4914f973fa2
CT-0312,312,Frontend Applications,Build test coverage,an accessible component library,Frontend Applications — Build test coverage: an accessible component library,"Create a layered automated test strategy for an accessible component library, including failure and recovery paths.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",accessibility regressions; rendering bottlenecks; stale caches; browser incompatibility.,keyboard-only use; screen readers; interrupted navigation.,end-to-end tests; visual regression tests; accessibility audits; cross-browser tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,c23e5e8df297088631652dd0
CT-0313,313,Frontend Applications,Optimize performance and cost,an accessible component library,Frontend Applications — Optimize performance and cost: an accessible component library,"Improve the latency, throughput, resource use, and operating cost of an accessible component library.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",rendering bottlenecks; stale caches; browser incompatibility; unsafe HTML.,slow devices; keyboard-only use; screen readers.,accessibility audits; cross-browser tests; performance budgets; end-to-end tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,1f364282b2f2a20a0dc386de
CT-0314,314,Frontend Applications,Optimize performance and cost,an accessible component library,Frontend Applications — Optimize performance and cost: an accessible component library,"Improve the latency, throughput, resource use, and operating cost of an accessible component library.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",stale caches; browser incompatibility; unsafe HTML; state inconsistency.,slow devices; keyboard-only use; screen readers.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,346d10750321a37bd87900d2
CT-0315,315,Frontend Applications,Optimize performance and cost,an accessible component library,Frontend Applications — Optimize performance and cost: an accessible component library,"Improve the latency, throughput, resource use, and operating cost of an accessible component library.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",browser incompatibility; unsafe HTML; state inconsistency; accessibility regressions.,keyboard-only use; screen readers; interrupted navigation.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,16ad4862e023c1e07cde5db4
CT-0316,316,Frontend Applications,Optimize performance and cost,an accessible component library,Frontend Applications — Optimize performance and cost: an accessible component library,"Improve the latency, throughput, resource use, and operating cost of an accessible component library.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",unsafe HTML; state inconsistency; accessibility regressions; rendering bottlenecks.,keyboard-only use; screen readers; interrupted navigation.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,a076fa470e74de6dc2f59032
CT-0317,317,Frontend Applications,Engineer resilience,an accessible component library,Frontend Applications — Engineer resilience: an accessible component library,"Make an accessible component library tolerate partial failures, retries, restarts, and dependency degradation.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",state inconsistency; accessibility regressions; rendering bottlenecks; stale caches.,slow devices; keyboard-only use; screen readers.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,7367fa84f41464ba25717705
CT-0318,318,Frontend Applications,Engineer resilience,an accessible component library,Frontend Applications — Engineer resilience: an accessible component library,"Make an accessible component library tolerate partial failures, retries, restarts, and dependency degradation.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",accessibility regressions; rendering bottlenecks; stale caches; browser incompatibility.,slow devices; keyboard-only use; screen readers.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,f94c8e639a2c3345df007bb6
CT-0319,319,Frontend Applications,Engineer resilience,an accessible component library,Frontend Applications — Engineer resilience: an accessible component library,"Make an accessible component library tolerate partial failures, retries, restarts, and dependency degradation.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",rendering bottlenecks; stale caches; browser incompatibility; unsafe HTML.,keyboard-only use; screen readers; interrupted navigation.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,59e18e206e8f348a1ec1fe67
CT-0320,320,Frontend Applications,Engineer resilience,an accessible component library,Frontend Applications — Engineer resilience: an accessible component library,"Make an accessible component library tolerate partial failures, retries, restarts, and dependency degradation.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",stale caches; browser incompatibility; unsafe HTML; state inconsistency.,keyboard-only use; screen readers; interrupted navigation.,accessibility audits; cross-browser tests; performance budgets; end-to-end tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,62d55bbf19fdac0524179881
CT-0321,321,Frontend Applications,Design and implement,an offline-capable single-page application,Frontend Applications — Design and implement: an offline-capable single-page application,Create a production-ready implementation of an offline-capable single-page application.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",browser incompatibility; unsafe HTML; state inconsistency; accessibility regressions.,slow devices; keyboard-only use; screen readers.,performance budgets; end-to-end tests; visual regression tests; accessibility audits.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,cf3dbcbb7bacdcee4263de62
CT-0322,322,Frontend Applications,Design and implement,an offline-capable single-page application,Frontend Applications — Design and implement: an offline-capable single-page application,Create a production-ready implementation of an offline-capable single-page application.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",unsafe HTML; state inconsistency; accessibility regressions; rendering bottlenecks.,slow devices; keyboard-only use; screen readers.,performance budgets; end-to-end tests; visual regression tests; accessibility audits.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,f9dc926690f71d8df6a42b9f
CT-0323,323,Frontend Applications,Design and implement,an offline-capable single-page application,Frontend Applications — Design and implement: an offline-capable single-page application,Create a production-ready implementation of an offline-capable single-page application.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",state inconsistency; accessibility regressions; rendering bottlenecks; stale caches.,keyboard-only use; screen readers; interrupted navigation.,end-to-end tests; visual regression tests; accessibility audits; cross-browser tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,92f28b286e26ca625dd78fdb
CT-0324,324,Frontend Applications,Design and implement,an offline-capable single-page application,Frontend Applications — Design and implement: an offline-capable single-page application,Create a production-ready implementation of an offline-capable single-page application.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",accessibility regressions; rendering bottlenecks; stale caches; browser incompatibility.,keyboard-only use; screen readers; interrupted navigation.,end-to-end tests; visual regression tests; accessibility audits; cross-browser tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,6dfdac4cc4e8c16a5d73a258
CT-0325,325,Frontend Applications,Diagnose and repair,an offline-capable single-page application,Frontend Applications — Diagnose and repair: an offline-capable single-page application,"Investigate a failing an offline-capable single-page application, identify the root cause, and implement a verified fix.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",rendering bottlenecks; stale caches; browser incompatibility; unsafe HTML.,slow devices; keyboard-only use; screen readers.,accessibility audits; cross-browser tests; performance budgets; end-to-end tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,7faa2592595777dee9263594
CT-0326,326,Frontend Applications,Diagnose and repair,an offline-capable single-page application,Frontend Applications — Diagnose and repair: an offline-capable single-page application,"Investigate a failing an offline-capable single-page application, identify the root cause, and implement a verified fix.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",stale caches; browser incompatibility; unsafe HTML; state inconsistency.,slow devices; keyboard-only use; screen readers.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,9f58864b5bc4250ce815dbfe
CT-0327,327,Frontend Applications,Diagnose and repair,an offline-capable single-page application,Frontend Applications — Diagnose and repair: an offline-capable single-page application,"Investigate a failing an offline-capable single-page application, identify the root cause, and implement a verified fix.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",browser incompatibility; unsafe HTML; state inconsistency; accessibility regressions.,keyboard-only use; screen readers; interrupted navigation.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,ec46e8262999cbd70ec8942d
CT-0328,328,Frontend Applications,Diagnose and repair,an offline-capable single-page application,Frontend Applications — Diagnose and repair: an offline-capable single-page application,"Investigate a failing an offline-capable single-page application, identify the root cause, and implement a verified fix.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",unsafe HTML; state inconsistency; accessibility regressions; rendering bottlenecks.,keyboard-only use; screen readers; interrupted navigation.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,b638ffb5e442b9dcb1ffd92e
CT-0329,329,Frontend Applications,Refactor safely,an offline-capable single-page application,Frontend Applications — Refactor safely: an offline-capable single-page application,Refactor an offline-capable single-page application to improve maintainability without changing externally observable behavior.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",state inconsistency; accessibility regressions; rendering bottlenecks; stale caches.,slow devices; keyboard-only use; screen readers.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,2ffcc016711b3ab8d4de8b11
CT-0330,330,Frontend Applications,Refactor safely,an offline-capable single-page application,Frontend Applications — Refactor safely: an offline-capable single-page application,Refactor an offline-capable single-page application to improve maintainability without changing externally observable behavior.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",accessibility regressions; rendering bottlenecks; stale caches; browser incompatibility.,slow devices; keyboard-only use; screen readers.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,4cb817ed152854524fca979a
CT-0331,331,Frontend Applications,Refactor safely,an offline-capable single-page application,Frontend Applications — Refactor safely: an offline-capable single-page application,Refactor an offline-capable single-page application to improve maintainability without changing externally observable behavior.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",rendering bottlenecks; stale caches; browser incompatibility; unsafe HTML.,keyboard-only use; screen readers; interrupted navigation.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,8400fb06b9ff68ed2852cd00
CT-0332,332,Frontend Applications,Refactor safely,an offline-capable single-page application,Frontend Applications — Refactor safely: an offline-capable single-page application,Refactor an offline-capable single-page application to improve maintainability without changing externally observable behavior.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",stale caches; browser incompatibility; unsafe HTML; state inconsistency.,keyboard-only use; screen readers; interrupted navigation.,accessibility audits; cross-browser tests; performance budgets; end-to-end tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,c20e75d726bcba8a8bfad21a
CT-0333,333,Frontend Applications,Scale under load,an offline-capable single-page application,Frontend Applications — Scale under load: an offline-capable single-page application,Redesign an offline-capable single-page application so it remains correct and responsive under significantly higher load.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",browser incompatibility; unsafe HTML; state inconsistency; accessibility regressions.,slow devices; keyboard-only use; screen readers.,performance budgets; end-to-end tests; visual regression tests; accessibility audits.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,01cc15cef835f2bf42e11e55
CT-0334,334,Frontend Applications,Scale under load,an offline-capable single-page application,Frontend Applications — Scale under load: an offline-capable single-page application,Redesign an offline-capable single-page application so it remains correct and responsive under significantly higher load.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",unsafe HTML; state inconsistency; accessibility regressions; rendering bottlenecks.,slow devices; keyboard-only use; screen readers.,performance budgets; end-to-end tests; visual regression tests; accessibility audits.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,bdba95542dbdfe1fe7a1298f
CT-0335,335,Frontend Applications,Scale under load,an offline-capable single-page application,Frontend Applications — Scale under load: an offline-capable single-page application,Redesign an offline-capable single-page application so it remains correct and responsive under significantly higher load.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",state inconsistency; accessibility regressions; rendering bottlenecks; stale caches.,keyboard-only use; screen readers; interrupted navigation.,end-to-end tests; visual regression tests; accessibility audits; cross-browser tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,aa8bd9f156e3bdb4289a79fb
CT-0336,336,Frontend Applications,Scale under load,an offline-capable single-page application,Frontend Applications — Scale under load: an offline-capable single-page application,Redesign an offline-capable single-page application so it remains correct and responsive under significantly higher load.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",accessibility regressions; rendering bottlenecks; stale caches; browser incompatibility.,keyboard-only use; screen readers; interrupted navigation.,end-to-end tests; visual regression tests; accessibility audits; cross-browser tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,9605a03a3485d770d8d299c7
CT-0337,337,Frontend Applications,Harden security,an offline-capable single-page application,Frontend Applications — Harden security: an offline-capable single-page application,Threat-model and secure an offline-capable single-page application against realistic abuse and attack paths.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",rendering bottlenecks; stale caches; browser incompatibility; unsafe HTML.,slow devices; keyboard-only use; screen readers.,accessibility audits; cross-browser tests; performance budgets; end-to-end tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,0dcbf8896ed274af0314ed4b
CT-0338,338,Frontend Applications,Harden security,an offline-capable single-page application,Frontend Applications — Harden security: an offline-capable single-page application,Threat-model and secure an offline-capable single-page application against realistic abuse and attack paths.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",stale caches; browser incompatibility; unsafe HTML; state inconsistency.,slow devices; keyboard-only use; screen readers.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,ddd304e30df5c612bc78c34f
CT-0339,339,Frontend Applications,Harden security,an offline-capable single-page application,Frontend Applications — Harden security: an offline-capable single-page application,Threat-model and secure an offline-capable single-page application against realistic abuse and attack paths.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",browser incompatibility; unsafe HTML; state inconsistency; accessibility regressions.,keyboard-only use; screen readers; interrupted navigation.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,dadf0974ccefb5e646b332c2
CT-0340,340,Frontend Applications,Harden security,an offline-capable single-page application,Frontend Applications — Harden security: an offline-capable single-page application,Threat-model and secure an offline-capable single-page application against realistic abuse and attack paths.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",unsafe HTML; state inconsistency; accessibility regressions; rendering bottlenecks.,keyboard-only use; screen readers; interrupted navigation.,cross-browser tests; performance budgets; end-to-end tests; visual regression tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,5bda38992f2ad6ffb00cb8a2
CT-0341,341,Frontend Applications,Migrate with continuity,an offline-capable single-page application,Frontend Applications — Migrate with continuity: an offline-capable single-page application,Migrate an offline-capable single-page application to a new architecture or platform without unacceptable downtime or data loss.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",state inconsistency; accessibility regressions; rendering bottlenecks; stale caches.,slow devices; keyboard-only use; screen readers.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,1a77fa4f22a64a986b215252
CT-0342,342,Frontend Applications,Migrate with continuity,an offline-capable single-page application,Frontend Applications — Migrate with continuity: an offline-capable single-page application,Migrate an offline-capable single-page application to a new architecture or platform without unacceptable downtime or data loss.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",accessibility regressions; rendering bottlenecks; stale caches; browser incompatibility.,slow devices; keyboard-only use; screen readers.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,acb07ae7f4df486c88353e5b
CT-0343,343,Frontend Applications,Migrate with continuity,an offline-capable single-page application,Frontend Applications — Migrate with continuity: an offline-capable single-page application,Migrate an offline-capable single-page application to a new architecture or platform without unacceptable downtime or data loss.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",rendering bottlenecks; stale caches; browser incompatibility; unsafe HTML.,keyboard-only use; screen readers; interrupted navigation.,visual regression tests; accessibility audits; cross-browser tests; performance budgets.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,52a0b018b08039b64cb23a66
CT-0344,344,Frontend Applications,Migrate with continuity,an offline-capable single-page application,Frontend Applications — Migrate with continuity: an offline-capable single-page application,Migrate an offline-capable single-page application to a new architecture or platform without unacceptable downtime or data loss.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",stale caches; browser incompatibility; unsafe HTML; state inconsistency.,keyboard-only use; screen readers; interrupted navigation.,accessibility audits; cross-browser tests; performance budgets; end-to-end tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,80ca6e5709536c8f570dfe59
CT-0345,345,Frontend Applications,Add observability,an offline-capable single-page application,Frontend Applications — Add observability: an offline-capable single-page application,"Instrument an offline-capable single-page application so operators can detect, diagnose, and explain failures quickly.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",browser incompatibility; unsafe HTML; state inconsistency; accessibility regressions.,slow devices; keyboard-only use; screen readers.,performance budgets; end-to-end tests; visual regression tests; accessibility audits.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,a82f965d9d33778e0f867bee
CT-0346,346,Frontend Applications,Add observability,an offline-capable single-page application,Frontend Applications — Add observability: an offline-capable single-page application,"Instrument an offline-capable single-page application so operators can detect, diagnose, and explain failures quickly.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",unsafe HTML; state inconsistency; accessibility regressions; rendering bottlenecks.,slow devices; keyboard-only use; screen readers.,performance budgets; end-to-end tests; visual regression tests; accessibility audits.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,faf7f97521237c3f44357b76
CT-0347,347,Frontend Applications,Add observability,an offline-capable single-page application,Frontend Applications — Add observability: an offline-capable single-page application,"Instrument an offline-capable single-page application so operators can detect, diagnose, and explain failures quickly.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",state inconsistency; accessibility regressions; rendering bottlenecks; stale caches.,keyboard-only use; screen readers; interrupted navigation.,end-to-end tests; visual regression tests; accessibility audits; cross-browser tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,c66c3c783c5fdc6dd5d68163
CT-0348,348,Frontend Applications,Add observability,an offline-capable single-page application,Frontend Applications — Add observability: an offline-capable single-page application,"Instrument an offline-capable single-page application so operators can detect, diagnose, and explain failures quickly.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",accessibility regressions; rendering bottlenecks; stale caches; browser incompatibility.,keyboard-only use; screen readers; interrupted navigation.,end-to-end tests; visual regression tests; accessibility audits; cross-browser tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,3583f940d12d9afd8629f527
CT-0349,349,Frontend Applications,Build test coverage,an offline-capable single-page application,Frontend Applications — Build test coverage: an offline-capable single-page application,"Create a layered automated test strategy for an offline-capable single-page application, including failure and recovery paths.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",rendering bottlenecks; stale caches; browser incompatibility; unsafe HTML.,slow devices; keyboard-only use; screen readers.,accessibility audits; cross-browser tests; performance budgets; end-to-end tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,477377aabc7b8748b274b9f9
